food,kids,kills,ticks,gage,shots,spawn
0.0,0,0,9,1,0,0
0.0,0,0,17,3,0,0
0.0,0,0,40,4,34,0
0.0,0,0,46,4,33,0
0.0,0,0,51,3,32,0
0.0,0,0,119,1,0,0
0.0,0,0,119,1,0,0
0.0,0,0,127,3,0,0
0.0,0,0,127,3,0,0
0.0,0,0,128,3,0,0
0.0,0,0,169,3,0,0
22.785012275929216,0,0,177,3,0,0
39.6175171175231,0,2,220,4,161,0
0.0,0,0,342,3,0,0
0.0,0,0,342,3,0,0
42.263692934068196,0,0,416,1,0,0
0.0,0,0,423,3,0,0
12.664501774916129,0,0,519,3,0,0
12.664501774916129,0,0,519,3,0,0
0.0,0,0,1251,4,0,0
0.0,0,0,1251,4,0,0
0.0,0,0,1251,4,0,0
0.0,0,0,1251,4,0,0
0.0,0,0,1251,4,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,3,0,0
0.0,0,0,1251,1,0,0
0.0,0,0,1251,1,0,0
0.0,0,0,1251,1,0,0
0.0,0,0,284,1,0,1000
0.0,0,0,63,1,33,1267
0.0,0,0,89,1,31,1252
7.72800000000022,0,1,99,1,58,1266
0.0,0,0,30,1,18,1341
29.536171041168128,0,0,1388,3,0,0
32.792171041168565,0,2,87,1,66,1330
0.0,0,0,167,1,0,1261
32.003323492193054,0,0,1434,3,0,0
0.0,0,0,28,1,0,1418
0.0,0,0,189,1,0,1260
0.0,0,0,202,1,0,1253
0.0,0,0,9,1,0,1447
0.0,0,0,206,1,0,1256
0.0,0,0,221,1,0,1257
0.0,0,0,221,1,0,1257
10.405957114896392,0,0,22,1,0,1463
62.60101592412191,0,0,1491,1,0,0
0.0,0,0,1,1,0,1500
0.0,0,0,1,1,0,1500
0.0,0,0,1,1,0,1500
0.0,0,0,1,1,0,1500
0.0,0,0,1,1,0,1500
18.047897883622962,0,0,1500,3,0,0
18.047897883622962,0,0,1500,3,0,0
12.852473491131681,0,0,247,1,0,1254
22.005813534667038,0,0,1504,1,0,0
14.897358892195196,0,0,1512,3,0,0
19.521726127970133,0,0,1039,1,0,500
0.0,0,0,39,1,0,1514
9.145003659829788,0,0,98,1,63,1457
0.0,0,0,59,1,0,1506
41.95014020820702,0,0,1569,3,0,0
0.0,0,0,34,1,0,1555
7.199284479023835,0,0,1614,4,0,0
48.09588832722559,0,0,1623,1,0,0
15.18440517933368,0,0,1654,4,0,0
15.18440517933368,0,0,1654,4,0,0
0.0,0,0,14,1,0,1656
66.4164149948931,0,0,1672,4,0,0
10.423469989302994,0,0,400,1,0,1285
0.0,0,0,67,1,33,1625
0.0,0,0,443,1,0,1258
0.0,0,0,437,1,0,1264
0.0,0,0,201,1,28,1502
0.0,0,0,5,1,0,1703
0.0,0,0,36,1,0,1674
