food,kids,kills,ticks,gage,shots,spawn
0.0,0,0,17,1,0,0
0.0,0,0,17,1,0,0
0.0,0,0,30,3,0,0
10.08884694341173,0,0,33,3,0,0
0.0,0,0,42,3,34,0
0.0,0,0,46,1,34,0
0.0,0,0,48,3,34,0
0.0,0,0,48,3,0,0
0.0,0,0,50,3,34,0
0.0,0,0,50,1,34,0
0.0,0,0,50,3,0,0
0.0,0,0,51,3,34,0
0.0,0,0,52,3,32,0
0.0,0,0,54,3,32,0
0.0,0,0,57,3,29,0
12.854243297376371,0,0,62,3,36,0
12.854243297376371,0,0,62,3,36,0
11.029846992362305,0,0,65,3,42,0
0.0,0,0,67,3,0,0
7.90984699236233,0,1,68,3,16,0
0.0,0,0,71,5,0,0
0.0,0,0,72,5,0,0
31.85793467923886,0,3,77,3,41,0
0.0,0,0,77,3,0,0
5.539141466067505,0,0,79,3,50,0
0.0,0,0,82,3,0,0
0.0,0,0,82,3,0,0
0.0,0,0,91,3,0,0
11.601872957774205,0,0,100,5,71,0
0.0,0,0,100,3,0,0
0.0,0,0,100,3,0,0
0.0,0,0,101,3,32,0
0.0,0,0,1,1,0,102
0.0,0,0,110,3,0,0
0.0,0,0,120,5,31,0
0.0,0,0,120,3,0,0
0.0,0,0,123,1,0,0
12.82002611906182,0,0,131,1,0,0
0.0,0,0,1,1,0,133
0.0,0,0,1,1,0,133
0.0,0,0,135,3,0,0
0.0,0,0,44,1,0,101
11.24984905828044,0,0,147,5,67,0
0.0,0,0,147,3,0,0
0.0,0,0,147,3,0,0
6.367465757211312,0,0,150,1,0,0
0.0,0,0,151,5,0,0
12.972495804968828,0,0,32,1,0,122
12.972495804968828,0,0,32,1,0,122
0.0,0,0,45,1,0,112
0.0,0,0,45,1,0,112
0.0,0,0,8,1,0,155
46.14099832730467,0,2,162,3,115,0
0.0,0,0,1,1,0,164
0.0,0,0,34,1,0,135
0.0,0,0,34,1,0,135
12.942167595515436,0,0,168,3,0,0
0.0,0,0,1,1,0,171
0.0,0,0,10,1,0,163
0.0,0,0,173,5,0,0
0.0,0,0,173,5,0,0
9.893135534614963,0,0,22,1,0,158
9.893135534614963,0,0,22,1,0,158
0.0,0,0,180,3,0,0
0.0,0,0,22,1,0,166
0.0,0,0,22,1,0,166
0.0,0,0,15,1,0,174
114.22101772899997,0,8,188,5,65,0
0.0,0,0,1,1,0,189
